dataset,budget_ratio,selector_ref,n,old_mean_pct,old_sd_pct,new_mean_pct,new_sd_pct,delta_mean_pp,delta_sd_pp,selection_ids_same,output_recipes_same
Cora,0.01,gt_full_all_trainable.yaml,3,88.5608856088561,0.3195665696621545,89.97539975399754,0.38407121761367347,1.4145141451414507,0.2818312235520147,0,0
Cora,0.01,gt_full_all_trainable_hops3.yaml,3,88.68388683886839,0.2818312235520202,90.09840098400984,0.28183122355201246,1.4145141451414545,0.4260887595495335,0,0
Cora,0.01,gt_full_sgc_all_trainable_hops3.yaml,3,88.06888068880689,0.21304437977477242,90.09840098400984,0.1065221898873821,2.0295202952029503,0.3195665696621566,0,0
Cora,0.01,gt_simple.yaml,3,88.06888068880689,0.2818312235520202,89.9138991389914,0.1065221898873821,1.8450184501845064,0.18450184501845324,0,0
Cora,0.01,p_graph.yaml,3,88.56088560885608,0.36900369003689804,90.03690036900369,0.0,1.4760147601476037,0.36900369003689537,0,0
Cora,0.01,p_point.yaml,3,88.31488314883148,0.1065221898873821,89.72939729397294,0.1065221898873903,1.4145141451414471,0.10652218988738658,0,0
Cora,0.01,r_point.yaml,3,88.37638376383764,0.0,89.66789667896678,0.18450184501845257,1.2915129151291487,0.18450184501845324,0,0
Cora,0.01,random.yaml,3,88.31488314883148,0.464319460963763,90.09840098400984,0.2130443797747642,1.7835178351783536,0.6479491852922928,3,0
Cora,0.05,degree.yaml,3,87.63837638376384,0.3195665696621463,89.85239852398524,0.18450184501845257,2.214022140221402,0.36900369003689537,3,0
Cora,0.05,gt_full.yaml,3,87.76137761377613,0.2130443797747642,89.23739237392374,0.46431946096375637,1.4760147601476,0.3195665696621566,0,0
Cora,0.05,gt_full_all_trainable.yaml,3,88.06888068880689,0.5636624471040327,90.09840098400984,0.28183122355201246,2.0295202952029503,0.48814599835139805,0,0
Cora,0.05,gt_full_all_trainable_hops3.yaml,3,88.19188191881919,0.48814599835139605,89.85239852398524,0.18450184501845257,1.6605166051660514,0.4881459983514044,0,0
Cora,0.05,gt_full_sgc_all_trainable_hops3.yaml,3,88.37638376383764,0.18450184501844547,89.85239852398523,0.48814599835139605,1.4760147601475964,0.3195665696621566,0,0
Cora,0.05,gt_simple.yaml,3,88.06888068880689,0.6479491852922946,89.72939729397294,0.38407121761367574,1.6605166051660551,0.9762919967028003,0,0
Cora,0.05,p_graph.yaml,3,87.82287822878229,0.18450184501844547,89.36039360393603,0.38407121761367574,1.5375153751537491,0.2818312235520207,0,0
Cora,0.05,p_point.yaml,3,88.00738007380073,0.18450184501845257,89.60639606396064,0.2818312235520187,1.5990159901599021,0.4643194609637655,0,0
Cora,0.05,r_point.yaml,3,88.13038130381304,0.38407121761367574,89.54489544895449,0.2130443797747642,1.4145141451414507,0.5930904527055921,0,0
Cora,0.05,random.yaml,3,88.13038130381304,0.21304437977477242,89.60639606396064,0.4260887595495366,1.4760147601476075,0.3690036900369009,3,0
Cora,0.1,degree.yaml,3,87.88437884378844,0.2818312235520202,89.97539975399754,0.1065221898873821,2.0910209102091035,0.38407121761367863,3,0
Cora,0.1,gt_full.yaml,3,86.28536285362854,0.7456553292116964,89.79089790897909,0.2818312235520202,3.505535055350558,0.6391331393243067,0,0
Cora,0.1,gt_full_all_trainable.yaml,3,86.16236162361623,1.0272627975701165,89.79089790897909,0.2818312235520202,3.628536285362856,0.7456553292116885,0,0
Cora,0.1,gt_full_all_trainable_hops3.yaml,3,86.34686346863468,0.7380073800738032,89.72939729397294,0.21304437977477242,3.382533825338259,0.768142435227357,0,0
Cora,0.1,gt_full_sgc_all_trainable_hops3.yaml,3,88.13038130381304,0.38407121761367574,89.23739237392374,0.46431946096375637,1.107011070110701,0.18450184501845324,0,0
Cora,0.1,gt_simple.yaml,3,88.06888068880689,0.1065221898873903,89.79089790897909,0.46431946096375637,1.7220172201722044,0.4643194609637603,0,0
Cora,0.1,p_graph.yaml,3,86.22386223862239,0.7456553292116888,89.48339483394834,0.36900369003689804,3.2595325953259575,0.9467899334772846,0,0
Cora,0.1,p_point.yaml,3,86.59286592865928,0.5930904527055948,88.86838868388683,0.464319460963763,2.2755227552275548,0.4260887595495335,0,0
Cora,0.1,r_point.yaml,3,86.5928659286593,0.7681424352273595,88.74538745387454,0.3195665696621545,2.1525215252152488,0.7456553292116938,0,0
Cora,0.1,random.yaml,3,88.25338253382533,0.21304437977477242,89.85239852398523,0.3195665696621545,1.5990159901598984,0.5326109494369298,3,0
Cora,0.15,degree.yaml,3,87.63837638376384,0.18450184501844547,89.72939729397294,0.2818312235520202,2.0910209102090995,0.28183122355202195,3,0
Cora,0.15,gt_full.yaml,3,84.99384993849938,0.5326109494369269,88.62238622386225,0.8521775190990815,3.62853628536286,0.7456553292116946,0,0
Cora,0.15,gt_full_all_trainable.yaml,3,85.05535055350553,0.9586997089864635,89.0528905289053,0.9467899334772902,3.9975399753997554,0.6985127116605511,0,0
Cora,0.15,gt_full_all_trainable_hops3.yaml,3,85.11685116851169,0.7681424352273573,89.23739237392374,0.9286389219275184,4.120541205412054,0.5636624471040428,0,0
