dataset,budget_ratio,selector,reference,n_paired_training_seeds,test_accuracy_difference_pp,paired_sample_sd_pp,lower/equal/higher
CiteSeer,0.01,r_point,degree,3,0.6006006006005982,0.688074428672047,higher
CiteSeer,0.01,r_point,random,3,0.4004004004004025,0.8537898953569514,higher
CiteSeer,0.01,random,degree,3,0.2002002002001957,0.8269625446375484,higher
CiteSeer,0.01,random,random,3,0.0,0.0,equal
CiteSeer,0.05,degree,degree,3,0.0,0.0,equal
CiteSeer,0.05,degree,random,3,0.4004004004003951,0.7095819258637547,higher
CiteSeer,0.05,gt_full,degree,3,0.800800800800805,0.709581925863759,higher
CiteSeer,0.05,gt_full,random,3,1.2012012012012,0.3003003003002991,higher
CiteSeer,0.05,gt_full_all_trainable,degree,3,0.3003003003003009,0.3003003003002991,higher
CiteSeer,0.05,gt_full_all_trainable,random,3,0.700700700700696,0.709581925863759,higher
CiteSeer,0.05,gt_full_all_trainable_hops3,degree,3,0.4004004004004025,0.3778695913548927,higher
CiteSeer,0.05,gt_full_all_trainable_hops3,random,3,0.8008008008007975,0.34675691843220624,higher
CiteSeer,0.05,gt_full_sgc_all_trainable_hops3,degree,3,-0.9509509509509498,1.1269599849046745,lower
CiteSeer,0.05,gt_full_sgc_all_trainable_hops3,random,3,-0.5505505505505548,0.7406731024498849,lower
CiteSeer,0.05,gt_simple,degree,3,0.7507507507507541,0.9133277072519816,higher
CiteSeer,0.05,gt_simple,random,3,1.1511511511511492,0.22935814289067993,higher
CiteSeer,0.05,p_graph,degree,3,0.5505505505505548,0.3125624623823005,higher
CiteSeer,0.05,p_graph,random,3,0.9509509509509498,0.7557391827097839,higher
CiteSeer,0.05,p_point,degree,3,0.2502502502502539,0.22935814289068598,higher
CiteSeer,0.05,p_point,random,3,0.650650650650649,0.8269625446375537,higher
CiteSeer,0.05,r_point,degree,3,0.10010010010010524,0.4826652032529013,higher
CiteSeer,0.05,r_point,random,3,0.5005005005005003,1.0546199952805528,higher
CiteSeer,0.05,random,degree,3,-0.4004004004003951,0.7095819258637547,lower
CiteSeer,0.05,random,random,3,0.0,0.0,equal
CiteSeer,0.1,degree,degree,3,0.0,0.0,equal
CiteSeer,0.1,degree,random,3,0.25025025025025016,0.9174325715627318,higher
CiteSeer,0.1,gt_full,degree,3,-0.20020020020019938,1.0220509437768817,lower
CiteSeer,0.1,gt_full,random,3,0.050050050050050775,1.3951311175942307,higher
CiteSeer,0.1,gt_full_all_trainable,degree,3,0.350350350350348,0.22935814289068115,higher
CiteSeer,0.1,gt_full_all_trainable,random,3,0.6006006006005982,0.7507507507507505,higher
CiteSeer,0.1,gt_full_all_trainable_hops3,degree,3,0.45045045045044585,0.15015015015015232,higher
CiteSeer,0.1,gt_full_all_trainable_hops3,random,3,0.700700700700696,1.0220509437768859,higher
CiteSeer,0.1,gt_full_sgc_all_trainable_hops3,degree,3,-1.0010010010010006,1.065255087777419,lower
CiteSeer,0.1,gt_full_sgc_all_trainable_hops3,random,3,-0.7507507507507505,0.15015015015015232,lower
CiteSeer,0.1,gt_simple,degree,3,0.2002002002001957,0.7705107266436751,higher
CiteSeer,0.1,gt_simple,random,3,0.45045045045044585,0.15015015015015232,higher
CiteSeer,0.1,p_graph,degree,3,-0.30030030030030463,0.6544893308619623,lower
CiteSeer,0.1,p_graph,random,3,-0.05005005005005447,1.0862129336441788,lower
