dataset,training_seed,budget_ratio,selector_ref,cell_id,selection_id_old,selection_id_new,selection_id_same,output_recipe_hash_old,output_recipe_hash_new,old_f1_after_pct,new_f1_after_pct,delta_new_minus_old_pp
CiteSeer,2024,0.05,p_point.yaml,946ccbee6c72ebe038bd,sel_85a0bd13_330a5591,sel_c0de84be_69753919,False,0661c41cddf9e678d14a15769b92adb031a1b60016da4ac7280ed48232aa8828,63cee7376c4f3e336d5991b9b0ee86bc6f55d5d8afda709bdbdac8fb1801908a,76.42642642642643,76.12612612612612,-0.30030030030030463
CiteSeer,2024,0.05,gt_full_all_trainable_hops3.yaml,1edc6151c9863da4de16,sel_28ea7dfc_37aa6929,sel_ce41c2dd_bd3c300d,False,7b71a998beb8f6f3dd21dad7cdf7f6cc9d62830fde66ebab56bebc62fd2ce264,8727cfe7544b37054564d88e263002432677cfa398d5f6a6caf22e35492ef1d3,76.12612612612612,75.82582582582582,-0.30030030030030463
CiteSeer,2024,0.05,gt_full_sgc_all_trainable_hops3.yaml,0b51f4834e56ffc843c7,sel_cc7fe6f9_382b46dd,sel_48fa8caf_c0d54936,False,9db24b98a992830db3237418eab2cf0d47b41138aa545595f750af8adde94e64,a84c1f19383bfdef386efc44f7dc2bd43b91e4a91baa09564e0c1b92d50bdc82,76.27627627627628,73.72372372372372,-2.552552552552556
CiteSeer,2024,0.1,gt_full.yaml,ac86494bca4b51088909,sel_3eeb4d81_e7bee0c3,sel_bdc7ddb1_bd4416b3,False,9034da3bdc7ae9e829314e13ae817e737117124cfd2ad14e89da1b63cf7352b5,f8fb0944646d663eca8ba323f9343770d2a028e62f36e948f2b84353056160d0,76.12612612612612,76.27627627627628,0.15015015015015232
CiteSeer,2024,0.1,gt_full_all_trainable.yaml,5bf3ae1b6966a48cbf65,sel_b42a2caf_03fafa9b,sel_876015e5_fe4c78f6,False,1db88887b7ff84e112f981b3f18801571cfad4518920fe7dc6124431a7d73312,8f82e5cae71e05768d98ad928077c2df17b5da73152a48681bbb897711a74baa,76.42642642642643,75.97597597597597,-0.45045045045045695
CiteSeer,2024,0.1,degree.yaml,f7685278f8a19df5072c,sel_abe5882c_46b01259,sel_abe5882c_46b01259,True,17a8da11581b3f3076ed91b67caf3a1670f6732f2a75565ee96435513cda59b4,3cee84df39ccb9ee3c73d3cf89e7f8fd5ddce0f1e56bc639c08f961dc620b1ae,75.97597597597597,75.67567567567568,-0.30030030030029353
CiteSeer,2024,0.1,random.yaml,75b6166faade313c2c36,sel_c5d5b29a_ceea18e1,sel_c5d5b29a_ceea18e1,True,a2dddfc31514a7504de588d30875166887f850cdc5707fa89bae83992d5761be,3536682131e1e1d319963919441a1dcf680156b810758c1c71716613af0b7fdf,76.57657657657657,74.62462462462463,-1.9519519519519468
CiteSeer,2024,0.1,gt_simple.yaml,13e77236cc3fb8964697,sel_68d52157_99877e6f,sel_586c19de_c339e0bb,False,e28dd7e210b460b6f35bb43bcebcdbc82e4f1815e6b7040a458bf9316c404740,484826161c5ba692b3b2ec94a55351f185ff51a9ebc3814d0fc5ea5f9b4c288e,76.87687687687688,75.22522522522522,-1.6516516516516533
CiteSeer,2024,0.1,r_point.yaml,786b421faec102a3f025,sel_a9400763_ca2e0b86,sel_be1753da_fff45c4d,False,3d0e180b8d12e0b25ff1e5697712deb7f9b4f0c8f20a61d09117431a8f646595,94625982a98cdad1c2cf0a2fe0afd4eaa0057c5500bd1c4406c03746824b38cd,75.97597597597597,75.97597597597597,0.0
CiteSeer,2024,0.1,p_graph.yaml,cf6bff283df8952a522c,sel_db436d5e_f44e1c61,sel_40e8c57c_8f6450d9,False,961fcf9ad89bfa91986150ca9d307a8c6cb29ef4493ef96b4273927e908a0fc2,e97376854500387046a6bfa7cb87c856d68231a690236e95dcd7d4789ec371af,76.27627627627628,75.82582582582582,-0.45045045045045695
