dataset,selector,selector_ref,budget_ratio,n_training_seeds,training_seeds,test_accuracy_after_mean_percent,test_accuracy_after_sample_sd_pp
PubMed,p_point,p_point.yaml,0.05,3,42;212;2024,87.60141987829616,0.29893068262047834
PubMed,p_point,p_point.yaml,0.1,3,42;212;2024,86.12237998647736,0.5614470480136062
PubMed,p_point,p_point.yaml,0.15,3,42;212;2024,85.13353617308992,0.7155014879410708
PubMed,r_point,r_point.yaml,0.01,3,42;212;2024,88.2606490872211,0.16626365426729525
PubMed,r_point,r_point.yaml,0.05,3,42;212;2024,87.736646382691,0.3347752251578492
PubMed,r_point,r_point.yaml,0.1,3,42;212;2024,86.11392832995267,0.6212398737639263
PubMed,r_point,r_point.yaml,0.15,3,42;212;2024,85.09127789046653,0.7003664968018817
PubMed,random,random.yaml,0.01,3,42;212;2024,88.47194050033806,0.07746071154421295
PubMed,random,random.yaml,0.05,3,42;212;2024,88.36206896551724,0.16626365426728934
PubMed,random,random.yaml,0.1,3,42;212;2024,88.75929682217715,0.18689439137504538
PubMed,random,random.yaml,0.15,3,42;212;2024,88.6156186612576,0.36830220705714767
