dataset,selector,selector_seed,cell_id,selection_id_old,selection_id_new,selection_same,p0_old_pct,p0_new_pct,p0_delta_pp,gu_old_pct,gu_new_pct,gu_delta_pp,retrain_old_pct,retrain_new_pct,retrain_delta_pp,gap_old_pp,gap_new_pp,gap_delta_pp,p0_gu_old_pp,p0_gu_new_pp,p0_gu_delta_pp,p0_retrain_old_pp,p0_retrain_new_pp,p0_retrain_delta_pp,gnn_cell_cache,retrain_cell_cache,gnn_producer_called,retrain_producer_called
CiteSeer,RR-1024,33,f36f1c7e6b2f55773123,sel_f8cfbb62_470e3e72,sel_f8cfbb62_470e3e72,True,76.72672672672672,74.47447447447448,-2.252252252252248,72.07207207207207,74.92492492492492,2.8528528528528483,76.72672672672672,76.42642642642643,-0.3003003003002931,4.6546546546546494,1.501501501501508,-3.1531531531531414,4.6546546546546494,-0.45045045045044674,-5.105105105105096,0.0,-1.9519519519519548,-1.9519519519519548,miss,miss,True,True
CiteSeer,RR-4096,11,e5127bbf47893aca4e28,sel_2e17c560_c274c8cd,sel_2e17c560_c274c8cd,True,76.72672672672672,74.47447447447448,-2.252252252252248,73.27327327327328,74.47447447447448,1.2012012012012008,77.02702702702703,75.67567567567568,-1.3513513513513544,3.753753753753756,1.2012012012012008,-2.552552552552555,3.4534534534534487,0.0,-3.4534534534534487,-0.3003003003003073,-1.2012012012012008,-0.9009009009008935,hit,hit,False,False
CiteSeer,RR-4096,22,5332a3d15cd64215cb24,sel_bdd52246_d4ce5088,sel_bdd52246_d4ce5088,True,76.72672672672672,74.47447447447448,-2.252252252252248,75.37537537537537,75.97597597597597,0.6006006006006004,76.42642642642643,74.32432432432432,-2.1021021021021085,1.0510510510510613,-1.6516516516516475,-2.702702702702709,1.3513513513513544,-1.5015015015014939,-2.8528528528528483,0.3003003003002931,0.15015015015015365,-0.15015015015013944,hit,hit,False,False
CiteSeer,RR-4096,33,287109fe7c78df520889,sel_7c21e986_235ef86d,sel_7c21e986_235ef86d,True,76.72672672672672,74.47447447447448,-2.252252252252248,74.32432432432432,75.37537537537537,1.0510510510510471,76.72672672672672,74.77477477477478,-1.9519519519519406,2.4024024024024015,-0.6006006006005862,-3.0030030030029877,2.4024024024024015,-0.9009009009008935,-3.303303303303295,0.0,-0.3003003003003073,-0.3003003003003073,hit,hit,False,False
CiteSeer,RR-16384,11,bfca914a8edcff7a62b4,sel_acf4b77b_9d850187,sel_acf4b77b_9d850187,True,76.72672672672672,74.47447447447448,-2.252252252252248,69.66966966966966,74.02402402402403,4.354354354354371,76.12612612612612,75.07507507507508,-1.0510510510510471,6.456456456456465,1.0510510510510471,-5.405405405405418,7.057057057057065,0.45045045045044674,-6.6066066066066185,0.6006006006006004,-0.6006006006006004,-1.2012012012012008,hit,hit,False,False
CiteSeer,RR-16384,22,1350510a28039a941014,sel_e568c96b_904e7a5c,sel_e568c96b_904e7a5c,True,76.72672672672672,74.47447447447448,-2.252252252252248,75.82582582582582,74.17417417417418,-1.6516516516516333,76.27627627627628,75.07507507507508,-1.2012012012012008,0.45045045045046095,0.9009009009008935,0.4504504504504325,0.9009009009009077,0.3003003003002931,-0.6006006006006146,0.45045045045044674,-0.6006006006006004,-1.0510510510510471,hit,hit,False,False
CiteSeer,RR-16384,33,e3c1040e05a79fda801c,sel_90af49bc_225172c5,sel_90af49bc_225172c5,True,76.72672672672672,74.47447447447448,-2.252252252252248,73.57357357357357,73.12312312312312,-0.45045045045044674,76.27627627627628,74.17417417417418,-2.1021021021020942,2.702702702702709,1.0510510510510613,-1.6516516516516475,3.1531531531531556,1.3513513513513544,-1.8018018018018012,0.45045045045044674,0.3003003003002931,-0.15015015015015365,hit,hit,False,False
CiteSeer,CELF,11,5db3413c0fef6dcbad4d,sel_a63b1685_203a7204,sel_a63b1685_203a7204,True,76.72672672672672,74.47447447447448,-2.252252252252248,72.67267267267268,73.72372372372372,1.0510510510510471,76.12612612612612,74.02402402402403,-2.1021021021020942,3.4534534534534487,0.3003003003003073,-3.1531531531531414,4.054054054054049,0.750750750750754,-3.303303303303295,0.6006006006006004,0.45045045045044674,-0.15015015015015365,hit,hit,False,False
CiteSeer,CELF,22,94c95e517e077db34e33,sel_b7f1c608_6ba16ffa,sel_b7f1c608_6ba16ffa,True,76.72672672672672,74.47447447447448,-2.252252252252248,69.96996996996997,73.57357357357357,3.6036036036036023,75.67567567567568,74.17417417417418,-1.5015015015014939,5.705705705705711,0.6006006006006146,-5.105105105105096,6.756756756756758,0.9009009009009077,-5.85585585585585,1.0510510510510471,0.3003003003002931,-0.750750750750754,miss,miss,True,True
CiteSeer,CELF,33,f1ad059f0e34b416a7fb,sel_f55d5239_e1dd26a3,sel_f55d5239_e1dd26a3,True,76.72672672672672,74.47447447447448,-2.252252252252248,71.47147147147147,76.27627627627628,4.804804804804803,76.27627627627628,73.57357357357357,-2.702702702702709,4.804804804804803,-2.702702702702709,-7.507507507507512,5.25525525525525,-1.8018018018018012,-7.057057057057051,0.45045045045044674,0.9009009009009077,0.45045045045046095,miss,miss,True,True
PubMed,Degree,,2bfb517634b5687ab92f,sel_435257f7_0fc3e473,sel_435257f7_0fc3e473,True,85.29411764705883,88.56490872210954,3.2707910750507097,80.85699797160242,87.2210953346856,6.364097363083175,85.37018255578094,88.71703853955376,3.3468559837728122,4.513184584178518,1.495943204868155,-3.017241379310363,4.437119675456401,1.3438133874239355,-3.0933062880324655,-0.0760649087221168,-0.15212981744421938,-0.07606490872210259,hit,hit,False,False
PubMed,Random,104245,b18768fea1df96e6889e,sel_2742b014_42ca31c5,sel_2742b014_42ca31c5,True,85.29411764705883,88.56490872210954,3.2707910750507097,75.81135902636917,86.35902636916836,10.547667342799187,85.44624746450305,88.69168356997972,3.2454361054766707,9.63488843813387,2.3326572008113544,-7.302231237322516,9.482758620689651,2.205882352941174,-7.276876267748477,-0.15212981744421938,-0.12677484787018045,0.025354969574038932,hit,hit,False,False
PubMed,Random,11,dd60ef7eef81a9ae2d4c,sel_6573d457_eb63973f,sel_6573d457_eb63973f,True,85.29411764705883,88.56490872210954,3.2707910750507097,80.67951318458418,86.86612576064908,6.186612576064903,85.29411764705883,88.7423935091278,3.448275862068968,4.614604462474645,1.8762677484787105,-2.7383367139959347,4.614604462474645,1.6987829614604522,-2.915821501014193,0.0,-0.17748478701825832,-0.17748478701825832,hit,hit,False,False
PubMed,Random,22,91d07e063d9902235d8f,sel_53170519_cecc2743,sel_53170519_cecc2743,True,85.29411764705883,88.56490872210954,3.2707910750507097,75.8367139959432,85.47160243407707,9.63488843813387,85.72515212981745,88.41277890466532,2.687626774847871,9.888438133874246,2.941176470588246,-6.947261663286,9.457403651115627,3.0933062880324655,-6.364097363083161,-0.4310344827586192,0.15212981744421938,0.5831643002028386,hit,hit,False,False
PubMed,RR-1024,11,dc8f1469493b400a1f52,sel_3702aa28_a13b4017,sel_3702aa28_a13b4017,True,85.29411764705883,88.56490872210954,3.2707910750507097,75.15212981744422,85.59837728194725,10.446247464503031,85.420892494929,88.36206896551724,2.941176470588232,10.268762677484787,2.763691683569988,-7.505070993914799,10.141987829614607,2.966531440162285,-7.175456389452322,-0.12677484787018045,0.20283975659229725,0.3296146044624777,hit,hit,False,False
PubMed,RR-1024,22,1acce56dddc459a1cfb6,sel_a5283cb0_39d22001,sel_a5283cb0_39d22001,True,85.29411764705883,88.56490872210954,3.2707910750507097,74.84787018255578,85.420892494929,10.573022312373226,85.5476673427992,88.43813387423936,2.890466531440154,10.69979716024342,3.0172413793103487,-7.682555780933072,10.446247464503045,3.144016227180529,-7.302231237322516,-0.2535496957403751,0.12677484787018045,0.38032454361055557,miss,miss,True,True
PubMed,RR-1024,33,59a4a28abd16a944145a,sel_0fb22a21_65a4f41e,sel_0fb22a21_65a4f41e,True,85.29411764705883,88.56490872210954,3.2707910750507097,74.49290060851928,85.44624746450305,10.953346855983767,85.44624746450305,88.2606490872211,2.8144016227180515,10.953346855983767,2.8144016227180515,-8.138945233265716,10.801217038539548,3.1186612576064903,-7.682555780933058,-0.15212981744421938,0.30425963488843877,0.45638945233265815,miss,miss,True,True
PubMed,RR-4096,11,504000d43c535405a5ca,sel_5d482488_7a37ce01,sel_5d482488_7a37ce01,True,85.29411764705883,88.56490872210954,3.2707910750507097,74.97464503042596,84.98985801217039,10.015212981744426,85.52231237322515,88.51419878296146,2.99188640973631,10.547667342799187,3.5243407707910706,-7.023326572008116,10.319472616632865,3.5750507099391484,-6.7444219066937166,-0.22819472616632197,0.050709939148077865,0.27890466531439984,hit,hit,False,False
PubMed,RR-4096,22,34ef654b3c1c361681e8,sel_06ed1ae8_a1d1caa4,sel_06ed1ae8_a1d1caa4,True,85.29411764705883,88.56490872210954,3.2707910750507097,74.87322515212982,84.73630831643003,9.863083164300207,85.49695740365112,88.69168356997972,3.194726166328593,10.623732251521304,3.9553752535496898,-6.668356997971614,10.420892494929006,3.8286004056795093,-6.592292089249497,-0.20283975659229725,-0.12677484787018045,0.0760649087221168,hit,hit,False,False
