budget,dataset,family,method,removed_directed_edges,retained_train_accuracy_drop,reused_identical_selected_set,seed,test_accuracy_drop,test_loss_increase,validation_accuracy_drop,validation_loss_increase
7,Cora,C-point,r_point,66,0.00037592649459838867,True,212,0.0559999942779541,0.11146372556686401,0.04400002956390381,0.0941394567489624
14,Cora,C-point,r_point,120,0.0007936954498291016,True,212,0.21999996900558472,0.41952085494995117,0.1980000138282776,0.39618927240371704
3,Cora,control,random,68,0.000156402587890625,False,212,0.0,0.005540192127227783,0.0020000338554382324,-0.0019470453262329102
7,Cora,control,random,100,0.00037592649459838867,False,212,0.0009999871253967285,0.006139099597930908,0.0020000338554382324,-0.003176748752593994
14,Cora,control,random,156,0.0007936954498291016,False,212,-0.005000054836273193,-0.00584179162979126,0.0040000081062316895,-0.013632357120513916
3,Cora,C-GIF,tracin_cp_graph_3,26,0.000156402587890625,False,212,0.0209999680519104,0.03383195400238037,0.018000006675720215,0.04331541061401367
7,Cora,C-GIF,tracin_cp_graph_3,52,0.00037592649459838867,False,212,0.04799997806549072,0.09212815761566162,0.04400002956390381,0.08322697877883911
14,Cora,C-GIF,tracin_cp_graph_3,178,0.0007936954498291016,False,212,0.18199998140335083,0.2812587022781372,0.15400004386901855,0.2492806315422058
3,Cora,C-GIF,tracin_cp_graph_6,26,0.000156402587890625,True,212,0.0209999680519104,0.03383195400238037,0.018000006675720215,0.04331541061401367
7,Cora,C-GIF,tracin_cp_graph_6,104,0.00037592649459838867,False,212,0.034999966621398926,0.062405169010162354,0.03600001335144043,0.06541997194290161
14,Cora,C-GIF,tracin_cp_graph_6,174,0.0007936954498291016,False,212,0.18199998140335083,0.2906160354614258,0.15000003576278687,0.2621219754219055
3,Cora,C-point,tracin_cp_point_3,34,0.000156402587890625,False,212,0.02399998903274536,0.047057926654815674,0.0140000581741333,0.026982784271240234
7,Cora,C-point,tracin_cp_point_3,72,0.00037592649459838867,False,212,0.07199996709823608,0.12351083755493164,0.05200004577636719,0.08732497692108154
14,Cora,C-point,tracin_cp_point_3,122,0.008730173110961914,False,212,0.22599995136260986,0.4231661558151245,0.20000004768371582,0.38818222284317017
3,Cora,C-point,tracin_cp_point_6,34,0.000156402587890625,True,212,0.02399998903274536,0.047057926654815674,0.0140000581741333,0.026982784271240234
7,Cora,C-point,tracin_cp_point_6,64,0.00037592649459838867,False,212,0.06299996376037598,0.12097907066345215,0.04000002145767212,0.08922094106674194
14,Cora,C-point,tracin_cp_point_6,118,0.008730173110961914,False,212,0.218999981880188,0.39511823654174805,0.1940000057220459,0.3664931654930115
3,Cora,C-IF,tracin_cp_simple_3,30,0.000156402587890625,True,212,0.01699995994567871,0.030089199542999268,0.008000016212463379,0.030999362468719482
7,Cora,C-IF,tracin_cp_simple_3,62,0.00037592649459838867,False,212,0.02599996328353882,0.044370412826538086,0.008000016212463379,0.05046224594116211
14,Cora,C-IF,tracin_cp_simple_3,134,0.0007936954498291016,False,212,0.07099997997283936,0.12961822748184204,0.078000009059906,0.14470189809799194
3,Cora,C-IF,tracin_cp_simple_6,30,0.000156402587890625,True,212,0.01699995994567871,0.030089199542999268,0.008000016212463379,0.030999362468719482
7,Cora,C-IF,tracin_cp_simple_6,60,0.00037592649459838867,True,212,0.015999972820281982,0.04189252853393555,0.010000050067901611,0.046219825744628906
14,Cora,C-IF,tracin_cp_simple_6,136,0.0007936954498291016,True,212,0.0639999508857727,0.11634284257888794,0.054000020027160645,0.12614494562149048
3,Cora,A,a_grad_norm,76,-0.007142841815948486,False,42,-0.001999974250793457,-0.022646009922027588,-0.013999998569488525,-0.024981200695037842
7,Cora,A,a_grad_norm,126,-0.007142841815948486,False,42,-0.013000011444091797,-0.03200799226760864,-0.018000006675720215,-0.02637338638305664
14,Cora,A,a_grad_norm,188,-0.007142841815948486,False,42,0.008000016212463379,-0.0027652382850646973,0.008000016212463379,0.0038310885429382324
3,Cora,B,b_param_hutch,36,-0.007142841815948486,False,42,0.00700002908706665,0.006133079528808594,-0.0040000081062316895,0.009090781211853027
7,Cora,B,b_param_hutch,78,-0.007142841815948486,False,42,0.009000003337860107,-0.016257941722869873,-0.008000016212463379,-0.004639923572540283
14,Cora,B,b_param_hutch,194,-0.007142841815948486,False,42,0.00700002908706665,-0.010015666484832764,-0.0059999823570251465,-0.0033890604972839355
3,Cora,B,b_param_lissa,76,-0.007142841815948486,True,42,-0.001999974250793457,-0.022646009922027588,-0.013999998569488525,-0.024981200695037842
7,Cora,B,b_param_lissa,106,-0.007142841815948486,False,42,-0.0040000081062316895,-0.026286005973815918,-0.011999964714050293,-0.021397709846496582
14,Cora,B,b_param_lissa,178,-0.007142841815948486,False,42,-0.0029999613761901855,-0.00907820463180542,-0.0040000081062316895,0.0016264915466308594
3,Cora,control,degree,178,-0.007142841815948486,False,42,-0.004999995231628418,-0.004465460777282715,-0.013999998569488525,-0.007367134094238281
7,Cora,control,degree,286,-0.007142841815948486,False,42,-0.004999995231628418,-0.021835684776306152,-0.022000014781951904,-0.024028301239013672
14,Cora,control,degree,416,-0.007142841815948486,False,42,0.0020000338554382324,0.0041710734367370605,-0.015999972820281982,0.0009669065475463867
3,Cora,C-GIF,gt_full,140,0.000156402587890625,False,42,-0.009000003337860107,-0.004105031490325928,-0.019999980926513672,-0.004521667957305908
7,Cora,C-GIF,gt_full,176,-0.007142841815948486,False,42,0.0040000081062316895,0.018281280994415283,-0.008000016212463379,0.023400962352752686
14,Cora,C-GIF,gt_full,250,-0.007142841815948486,False,42,0.018999993801116943,0.05565232038497925,0.013999998569488525,0.06843447685241699
3,Cora,C-IF,gt_simple,30,0.000156402587890625,False,42,0.01500004529953003,0.029256463050842285,0.0,0.0318605899810791
7,Cora,C-IF,gt_simple,64,0.00037592649459838867,False,42,0.023000001907348633,0.02433478832244873,0.022000014781951904,0.037495553493499756
14,Cora,C-IF,gt_simple,136,0.0007936954498291016,False,42,0.04900002479553223,0.07605510950088501,0.03799998760223389,0.09552997350692749
3,Cora,legacy,legacy,14,0.000156402587890625,False,42,0.003000020980834961,-0.005371272563934326,-0.0059999823570251465,-0.0027843713760375977
7,Cora,legacy,legacy,44,0.00037592649459838867,False,42,0.00700002908706665,-0.014525055885314941,0.0020000338554382324,0.003834366798400879
14,Cora,legacy,legacy,98,-0.007142841815948486,False,42,0.006000041961669922,-0.0073850154876708984,0.0059999823570251465,0.021411478519439697
3,Cora,C-GIF,p_graph,140,0.000156402587890625,True,42,-0.009000003337860107,-0.004105031490325928,-0.019999980926513672,-0.004521667957305908
7,Cora,C-GIF,p_graph,178,0.00037592649459838867,False,42,0.009999990463256836,0.026931405067443848,-0.001999974250793457,0.032429039478302
14,Cora,C-GIF,p_graph,248,-0.007142841815948486,False,42,0.013999998569488525,0.03886985778808594,0.016000032424926758,0.0559459924697876
3,Cora,C-point,p_point,14,0.000156402587890625,False,42,0.016000032424926758,0.018480956554412842,0.0,0.013557672500610352
7,Cora,C-point,p_point,58,0.00037592649459838867,False,42,0.03700000047683716,0.050772905349731445,0.018000006675720215,0.0534358024597168
14,Cora,C-point,p_point,120,0.0007936954498291016,False,42,0.21100002527236938,0.3724015951156616,0.17400002479553223,0.36114615201950073
3,Cora,C-IF,p_simple,30,0.000156402587890625,True,42,0.01500004529953003,0.029256463050842285,0.0,0.0318605899810791
7,Cora,C-IF,p_simple,64,0.00037592649459838867,True,42,0.023000001907348633,0.02433478832244873,0.022000014781951904,0.037495553493499756
14,Cora,C-IF,p_simple,136,0.0007936954498291016,True,42,0.04900002479553223,0.07605510950088501,0.03799998760223389,0.09552997350692749
3,Cora,C-point,r_point,14,0.000156402587890625,True,42,0.016000032424926758,0.018480956554412842,0.0,0.013557672500610352
7,Cora,C-point,r_point,58,0.00037592649459838867,True,42,0.03700000047683716,0.050772905349731445,0.018000006675720215,0.0534358024597168
14,Cora,C-point,r_point,120,0.0007936954498291016,True,42,0.21100002527236938,0.3724015951156616,0.17400002479553223,0.36114615201950073
3,Cora,control,random,18,0.000156402587890625,False,42,-0.0059999823570251465,-0.004763007164001465,-0.0040000081062316895,-0.005453586578369141
7,Cora,control,random,34,0.00037592649459838867,False,42,0.0009999871253967285,-0.00366896390914917,-0.001999974250793457,0.0010988712310791016
