budget,common_fraction_mean,common_fraction_std,dataset,jaccard_mean,jaccard_std,left,n_seeds,right,spearman_mean,spearman_std
3,0.6666666666666666,0.0,PubMed,0.5,0.0,tracin_cp_simple_3,3,gt_simple,0.5961285542280265,0.08041355516622259
3,0.6666666666666666,0.0,PubMed,0.5,0.0,tracin_cp_simple_6,3,gt_simple,0.6005371862554414,0.05989455673231735
7,1.0,0.0,PubMed,1.0,0.0,a_grad_norm,3,b_param_lissa,0.976419375752524,0.00320791142068951
7,0.9047619047619048,0.08247860988423228,PubMed,0.8333333333333334,0.14433756729740643,b_param_hutch,3,b_param_lissa,0.971732888765398,0.0283780295310622
7,0.3333333333333333,0.08247860988423225,PubMed,0.20202020202020202,0.061234119459505756,b_param_lissa,3,gt_full,0.13196258219875895,0.13100788375185976
7,0.2857142857142857,0.14285714285714285,PubMed,0.1721056721056721,0.09801534501676822,gt_simple,3,gt_full,0.08185607113086969,0.10836360527483466
7,0.9523809523809523,0.08247860988423228,PubMed,0.9166666666666666,0.14433756729740643,p_graph,3,gt_full,0.9968324534592945,0.0008733666932760044
7,0.9047619047619048,0.08247860988423228,PubMed,0.8333333333333334,0.14433756729740643,p_point,3,r_point,0.9964434565156991,0.002312714870428886
7,0.9523809523809523,0.08247860988423228,PubMed,0.9166666666666666,0.14433756729740643,p_simple,3,gt_simple,0.9898305084745764,0.011902704569440745
7,0.14285714285714285,0.0,PubMed,0.07692307692307693,0.0,r_point,3,gt_full,-0.3267018616282301,0.08351617565125741
7,0.23809523809523808,0.08247860988423225,PubMed,0.13675213675213674,0.05181348569650487,tracin_cp_graph_3,3,gt_full,0.3081781976474947,0.06372430911957953
7,0.23809523809523808,0.08247860988423225,PubMed,0.13675213675213674,0.05181348569650487,tracin_cp_graph_6,3,gt_full,0.339872186718533,0.08554639363694322
7,0.7142857142857143,0.14285714285714285,PubMed,0.5685185185185185,0.1753597126097792,tracin_cp_point_3,3,r_point,0.9151801426322128,0.052762903461065915
7,0.7619047619047619,0.1649572197684645,PubMed,0.6333333333333333,0.202072594216369,tracin_cp_point_6,3,r_point,0.9172918403260166,0.04423298531351424
7,0.6666666666666666,0.08247860988423228,PubMed,0.5037037037037038,0.08981004187394179,tracin_cp_simple_3,3,gt_simple,0.5961285542280265,0.08041355516622259
7,0.6666666666666666,0.08247860988423228,PubMed,0.5037037037037038,0.08981004187394179,tracin_cp_simple_6,3,gt_simple,0.6005371862554414,0.05989455673231735
14,0.9285714285714286,0.0,PubMed,0.8666666666666667,0.0,a_grad_norm,3,b_param_lissa,0.976419375752524,0.00320791142068951
14,0.8571428571428571,0.07142857142857145,PubMed,0.7545751633986928,0.10987538524138535,b_param_hutch,3,b_param_lissa,0.971732888765398,0.0283780295310622
14,0.40476190476190477,0.041239304942116105,PubMed,0.25428194993412384,0.03194823623974213,b_param_lissa,3,gt_full,0.13196258219875895,0.13100788375185976
14,0.2857142857142857,0.07142857142857144,PubMed,0.16801932367149758,0.04870974031312691,gt_simple,3,gt_full,0.08185607113086969,0.10836360527483466
14,0.9761904761904762,0.041239304942116105,PubMed,0.9555555555555556,0.07698003589195009,p_graph,3,gt_full,0.9968324534592945,0.0008733666932760044
14,0.9761904761904762,0.041239304942116105,PubMed,0.9555555555555556,0.07698003589195009,p_point,3,r_point,0.9964434565156991,0.002312714870428886
14,0.9761904761904762,0.041239304942116105,PubMed,0.9555555555555556,0.07698003589195009,p_simple,3,gt_simple,0.9898305084745764,0.011902704569440745
14,0.19047619047619047,0.08247860988423225,PubMed,0.10683760683760683,0.05181348569650487,r_point,3,gt_full,-0.3267018616282301,0.08351617565125741
14,0.3333333333333333,0.04123930494211614,PubMed,0.20048309178743962,0.029285883219763626,tracin_cp_graph_3,3,gt_full,0.3081781976474947,0.06372430911957953
14,0.35714285714285715,0.0,PubMed,0.21739130434782608,0.0,tracin_cp_graph_6,3,gt_full,0.339872186718533,0.08554639363694322
14,0.761904761904762,0.14869042853329517,PubMed,0.6319688109161794,0.20733557800009056,tracin_cp_point_3,3,r_point,0.9151801426322128,0.052762903461065915
14,0.8095238095238095,0.10910894511799621,PubMed,0.689760348583878,0.15989088793824505,tracin_cp_point_6,3,r_point,0.9172918403260166,0.04423298531351424
14,0.6904761904761905,0.041239304942116105,PubMed,0.5282651072124757,0.04726844309154834,tracin_cp_simple_3,3,gt_simple,0.5961285542280265,0.08041355516622259
14,0.6904761904761905,0.041239304942116105,PubMed,0.5282651072124757,0.04726844309154834,tracin_cp_simple_6,3,gt_simple,0.6005371862554414,0.05989455673231735
