budget,family,method,n_cells,test_accuracy_drop_mean,test_accuracy_drop_std,test_loss_increase_mean,test_loss_increase_std,validation_accuracy_drop_mean,validation_accuracy_drop_std,validation_loss_increase_mean,validation_loss_increase_std
14,C-point,p_point,9,0.15377778477138943,0.0549699371035791,0.27454042434692383,0.14668659394010125,0.1368889013926188,0.04707558622175154,0.25321251153945923,0.14779359598407538
3,C-IF,p_simple,9,0.003555562761094835,0.010088491158454062,0.011060761080847846,0.01804664271429177,0.0015555553966098363,0.007055355117002582,0.011448880036671957,0.021105680288165615
7,C-IF,p_simple,9,0.013222224182552762,0.015130901667031607,0.026220904456244573,0.026752599654948455,0.008222235573662652,0.01665668181467293,0.030681126647525363,0.03312893378795542
14,C-IF,p_simple,9,0.04233334461847941,0.03143643133005486,0.07050170501073201,0.04566136962213389,0.04444444841808743,0.03421664629798569,0.07953910032908122,0.05235010576400874
3,C-point,r_point,9,0.013444450166490342,0.007891609492302767,0.022598498397403292,0.016765519358676765,0.007555557621849908,0.013739655826866422,0.015998078717125788,0.015612134406407173
7,C-point,r_point,9,0.03866667879952325,0.011000003778585695,0.07085567050509983,0.03386036032836039,0.033555567264556885,0.016756416341310403,0.06018633974923028,0.027741015406043765
14,C-point,r_point,9,0.14600001441107857,0.06780485329386882,0.2689427004920112,0.15382717775652377,0.1340000099605984,0.05266877668667003,0.25187687741385567,0.14923591667312794
3,control,random,9,0.00033334891001383465,0.010547504321521227,-0.00026157829496595595,0.014528551175922194,0.0037777754995557996,0.014087021892994461,0.0008960564931233724,0.015865966152145503
7,control,random,9,0.009555558363596598,0.01187552219270795,0.014746904373168945,0.0141908716085862,0.010222229692671034,0.012427555003894747,0.011045449309878878,0.013582909992358663
14,control,random,9,0.018777781062655978,0.02912808533114595,0.024291184213426378,0.02902021446204609,0.01866667138205634,0.02233829825167462,0.020735005537668865,0.02513547001081536
3,C-GIF,tracin_cp_graph_3,9,0.012777785460154215,0.008786018573168554,0.020817491743299697,0.024521613030168317,0.008222228950924344,0.010790937875330076,0.018259757094913058,0.022502309903753747
7,C-GIF,tracin_cp_graph_3,9,0.04044444693459405,0.012166644068089124,0.06422390540440877,0.04138297044421564,0.036666671435038246,0.018302999160556686,0.060202068752712674,0.0424866173296758
14,C-GIF,tracin_cp_graph_3,9,0.12777777512868246,0.0557175351544916,0.1915204856130812,0.09077954239508848,0.11000000768237644,0.043058101717347044,0.17105011807547676,0.08853593279445378
3,C-GIF,tracin_cp_graph_6,9,0.013000011444091797,0.006595443752158702,0.01950351397196452,0.021782777638771688,0.008222235573662652,0.011850917912929032,0.016636431217193604,0.020271538206800804
7,C-GIF,tracin_cp_graph_6,9,0.03955556286705865,0.012738829091114295,0.05449457963307699,0.026977602655216436,0.036222232712639704,0.011065455328720556,0.04994991090562609,0.03077037347464967
14,C-GIF,tracin_cp_graph_6,9,0.11522223552068074,0.05173917725336803,0.1620507174068027,0.09950944167714468,0.09488889906141493,0.03768436374376873,0.1440148949623108,0.09614182949008945
3,C-point,tracin_cp_point_3,9,0.01600001917945014,0.005656844640032727,0.030330810281965468,0.015563532565603978,0.01355555984708998,0.012952913100332437,0.020445333586798772,0.012435160431312679
7,C-point,tracin_cp_point_3,9,0.05688890483644274,0.02579944428440048,0.08681048287285699,0.030260294408624374,0.03911111752192179,0.01741009018591216,0.06737235519621107,0.02066728873489098
14,C-point,tracin_cp_point_3,9,0.16600000858306885,0.04853348617413607,0.31551685598161483,0.12392430429635973,0.14844444725248548,0.04543982813266359,0.2898237506548564,0.1177563946550116
3,C-point,tracin_cp_point_6,9,0.015444464153713651,0.006105545605373717,0.030193540785047743,0.015500217021444334,0.01377778583102756,0.012862525748651219,0.021841837300194636,0.013023788654687597
7,C-point,tracin_cp_point_6,9,0.05600001414616903,0.023843243857311378,0.0886780752076043,0.030842290011455994,0.04044444693459405,0.012679813659388283,0.070692863729265,0.02097769824486132
14,C-point,tracin_cp_point_6,9,0.15788890255822075,0.05030516975768206,0.29036286142137313,0.1229274990802481,0.13644444280200535,0.04359789959518313,0.26659053564071655,0.12018385779204059
3,C-IF,tracin_cp_simple_3,9,0.007111118899451362,0.008447536505480777,0.013625383377075195,0.017510173328683994,0.002444452709621853,0.007535112154886496,0.011374625894758437,0.019866239657379346
7,C-IF,tracin_cp_simple_3,9,0.020666658878326416,0.012980755463304069,0.031557718912760414,0.01722959301261129,0.014222224553426107,0.016076224636299458,0.036768449677361384,0.02429147063538696
14,C-IF,tracin_cp_simple_3,9,0.05311111609141032,0.03007259776889545,0.09579606188668145,0.03990459688550616,0.05066667000452677,0.036510293867680704,0.10038065248065525,0.05309754854309819
3,C-IF,tracin_cp_simple_6,9,0.007111118899451362,0.008447536505480777,0.013625383377075195,0.017510173328683994,0.002444452709621853,0.007535112154886496,0.011374625894758437,0.019866239657379346
7,C-IF,tracin_cp_simple_6,9,0.019555548826853435,0.01289487704551752,0.031282398435804576,0.017017755269623135,0.014444450537363688,0.015993070412332208,0.03629706965552436,0.02403230384910196
14,C-IF,tracin_cp_simple_6,9,0.051777780055999756,0.030338827075206867,0.09503271844651964,0.0379182321294069,0.0475555592113071,0.03564799346674259,0.09861310985353258,0.05110542656306972
