budget,common_fraction,dataset,intersection,jaccard,kendall,left,right,seed,sign_agreement,spearman
7,0.5714285714285714,CiteSeer,4,0.4,0.4254901960784313,tracin_cp_graph_3,gt_full,42,0.7083333333333334,0.5649072852281408
14,0.5,CiteSeer,7,0.3333333333333333,0.4254901960784313,tracin_cp_graph_3,gt_full,42,0.7083333333333334,0.5649072852281408
3,0.3333333333333333,CiteSeer,1,0.2,0.48067226890756304,tracin_cp_graph_6,gt_full,42,0.7333333333333333,0.6315021876519202
7,0.5714285714285714,CiteSeer,4,0.4,0.48067226890756304,tracin_cp_graph_6,gt_full,42,0.7333333333333333,0.6315021876519202
14,0.5,CiteSeer,7,0.3333333333333333,0.48067226890756304,tracin_cp_graph_6,gt_full,42,0.7333333333333333,0.6315021876519202
3,0.6666666666666666,Cora,2,0.5,0.928879753340185,a_grad_norm,b_param_lissa,2024,1.0,0.9918261135772235
7,0.7142857142857143,Cora,5,0.5555555555555556,0.928879753340185,a_grad_norm,b_param_lissa,2024,1.0,0.9918261135772235
14,0.8571428571428571,Cora,12,0.75,0.928879753340185,a_grad_norm,b_param_lissa,2024,1.0,0.9918261135772235
3,0.6666666666666666,Cora,2,0.5,0.9011305241521069,b_param_hutch,b_param_lissa,2024,1.0,0.9853272397279748
7,0.8571428571428571,Cora,6,0.75,0.9011305241521069,b_param_hutch,b_param_lissa,2024,1.0,0.9853272397279748
14,0.7142857142857143,Cora,10,0.5555555555555556,0.9011305241521069,b_param_hutch,b_param_lissa,2024,1.0,0.9853272397279748
3,0.0,Cora,0,0.0,0.003494347379239466,b_param_lissa,gt_full,2024,0.5714285714285714,0.015958540158754458
7,0.0,Cora,0,0.0,0.003494347379239466,b_param_lissa,gt_full,2024,0.5714285714285714,0.015958540158754458
14,0.14285714285714285,Cora,2,0.07692307692307693,0.003494347379239466,b_param_lissa,gt_full,2024,0.5714285714285714,0.015958540158754458
3,0.0,Cora,0,0.0,0.041013517473689406,gt_simple,gt_full,2024,0.5071428571428571,0.04912001417012988
7,0.14285714285714285,Cora,1,0.07692307692307693,0.041013517473689406,gt_simple,gt_full,2024,0.5071428571428571,0.04912001417012988
14,0.14285714285714285,Cora,2,0.07692307692307693,0.041013517473689406,gt_simple,gt_full,2024,0.5071428571428571,0.04912001417012988
3,0.0,Cora,0,0.0,0.12230215827338131,r_point,gt_full,2024,0.5285714285714286,0.1679867048610352
7,0.14285714285714285,Cora,1,0.07692307692307693,0.12230215827338131,r_point,gt_full,2024,0.5285714285714286,0.1679867048610352
14,0.35714285714285715,Cora,5,0.21739130434782608,0.12230215827338131,r_point,gt_full,2024,0.5285714285714286,0.1679867048610352
3,1.0,Cora,3,1.0,0.8639260020554984,p_point,r_point,2024,0.9428571428571428,0.9692462443419126
7,0.8571428571428571,Cora,6,0.75,0.8639260020554984,p_point,r_point,2024,0.9428571428571428,0.9692462443419126
14,1.0,Cora,14,1.0,0.8639260020554984,p_point,r_point,2024,0.9428571428571428,0.9692462443419126
