budget,dataset,family,method,n_seeds,removed_directed_edges_mean,removed_directed_edges_std,retained_train_accuracy_drop_mean,retained_train_accuracy_drop_std,test_accuracy_drop_mean,test_accuracy_drop_std,test_loss_increase_mean,test_loss_increase_std,validation_accuracy_drop_mean,validation_accuracy_drop_std,validation_loss_increase_mean,validation_loss_increase_std
7,CiteSeer,C-point,p_point,3,71.33333333333333,8.082903768654761,-0.015290061632792154,0.0007885307364440997,0.03833333651224772,0.0210317200584088,0.03802597522735596,0.006335639033040228,0.016666690508524578,0.008082917691091247,0.033387184143066406,0.007612471674179194
14,CiteSeer,C-point,p_point,3,114.0,5.291502622129181,-0.023165603478749592,0.008429706136968047,0.13200002908706665,0.030643129603357803,0.16004021962483725,0.03578712262866804,0.0953333576520284,0.009865741413388692,0.1420880158742269,0.025311811826488062
3,CiteSeer,C-IF,p_simple,3,55.333333333333336,6.110100926607787,-0.004700859387715657,0.005006553789549959,0.0016666849454243977,0.009865761551941759,0.0038442611694335938,0.02440828097718009,0.008000016212463379,0.0034641086354685238,0.0028291543324788413,0.029971771177092914
7,CiteSeer,C-IF,p_simple,3,110.66666666666667,9.865765724632494,-0.006440500418345134,0.008623691428039884,0.017333348592122395,0.014571652326451523,0.028962572415669758,0.0359205144887149,0.01533337434132894,0.02419366694516453,0.039031783739725746,0.04660839011139631
14,CiteSeer,C-IF,p_simple,3,194.0,3.4641016151377544,-0.02316562334696452,0.007789536717633733,0.06833334763844807,0.01193035722246708,0.08646086851755778,0.006662378872399627,0.08000002304712932,0.0020000040531898593,0.10142536958058675,0.01256061286370015
3,CiteSeer,C-point,r_point,3,40.0,4.0,-0.01039886474609375,0.004692761259840742,0.004666686058044434,0.004725788416756798,0.006316979726155599,0.013327239186288553,0.0066666801770528155,0.0253245829624256,0.006555398305257161,0.016882280575024344
7,CiteSeer,C-point,r_point,3,83.33333333333333,5.033222956847166,-0.021189769109090168,0.004371835159386111,0.03100001811981201,0.014730944657941582,0.03599862257639567,0.003931114156379268,0.02200003465016683,0.023065133169329843,0.034282167752583824,0.010648531797975426
14,CiteSeer,C-point,r_point,3,112.0,5.291502622129181,-0.02002096176147461,0.0038971699273270153,0.11133337020874023,0.07046512660193563,0.14759302139282227,0.06082328996486808,0.09133334954579671,0.03384276774992739,0.1406418482462565,0.027891109072581827
3,CiteSeer,control,random,3,10.666666666666666,4.618802153517006,-0.004700859387715657,0.004627461032680736,0.0006666978200276693,0.00472582205027353,-0.008099039395650228,0.02060410362061006,-0.0019999941190083823,0.008717808717096358,-0.008869449297587076,0.019784965432791526
7,CiteSeer,control,random,3,30.0,5.291502622129181,-0.00939035415649414,0.009477021001253617,0.013666689395904541,0.00986577564891645,0.011245409647623697,0.0052174533864193535,0.008666694164276123,0.017009791181866914,0.005122701327006022,0.010994343359724799
14,CiteSeer,control,random,3,79.33333333333333,11.015141094572204,-0.007442355155944824,0.009321072489966368,0.019666671752929688,0.025006671962535004,0.03314614295959473,0.03134785345225652,0.018000006675720215,0.029051661055554196,0.0307772954305013,0.03554943780869392
3,CiteSeer,C-GIF,tracin_cp_graph_3,3,12.666666666666666,5.773502691896257,-0.007549862066904704,0.008226744996183198,0.005000015099843343,0.003464091428961474,-0.0066606998443603516,0.01691962469063141,-0.001333316167195638,0.012858193078621943,-0.0028687318166097007,0.018020750322422775
7,CiteSeer,C-GIF,tracin_cp_graph_3,3,31.333333333333332,7.571877794400365,-0.0034906466801961264,0.009636348674917075,0.034000019232432045,0.008717774531496095,0.033365090688069664,0.03462421907398815,0.021333356698354084,0.012220200604583556,0.032859365145365395,0.03054144929580277
14,CiteSeer,C-GIF,tracin_cp_graph_3,3,69.33333333333333,30.28751117760146,-0.010586996873219809,0.014267781546908762,0.11133333047231038,0.05571654983116162,0.1343159278233846,0.02539594857697429,0.07866668701171875,0.025006671962535004,0.1239026387532552,0.003026933173417717
3,CiteSeer,C-GIF,tracin_cp_graph_6,3,11.333333333333334,5.033222956847166,-0.007549862066904704,0.008226744996183198,0.005666693051656087,0.004618811513787102,-0.006633202234903972,0.016965575113488594,0.0006666978200276693,0.01527526376251993,-0.003130356470743815,0.017572114355288923
