cell,method,strategy,seed,failed,f1_after,paired_dF_pct,perf_before,perf_unlearn,perf_retrain,gap,mia_auc,hop1_flip,hop2_flip,hop3_flip,hop>3_flip,unlearn_time_s,selection_time_s
cora_GAT_r0.05,MEGU,pagerank,2024,False,0.845,0.74,0.867159,0.857934,0.863469,0.005535,0.4913,,,,,0.6202,0.037
cora_GAT_r0.05,MEGU,tracin,42,False,0.869,-1.29,0.872694,0.852399,0.848708,-0.00369,0.7647,,,,,0.6253,4.0304
cora_GAT_r0.05,MEGU,tracin,212,False,0.8506,-1.3,0.861624,0.859779,0.854244,-0.005535,0.811,,,,,0.5541,3.4496
cora_GAT_r0.05,MEGU,tracin,722,False,0.8432,0.18,0.859779,0.867159,0.846863,-0.020295,0.7156,,,,,0.6371,3.4869
cora_GAT_r0.05,MEGU,tracin,1337,False,0.8395,0.55,0.867159,0.839483,0.852399,0.012915,0.7629,,,,,0.6426,3.3704
cora_GAT_r0.05,MEGU,tracin,2024,False,0.8561,-0.37,0.872694,0.845018,0.852399,0.00738,0.8032,,,,,0.6375,3.8873
cora_GAT_r0.05,MEGU,im,42,False,0.8524,0.37,0.878229,0.859779,0.857934,-0.001845,0.5243,,,,,0.6651,1.5652
cora_GAT_r0.05,MEGU,im,212,False,0.8469,-0.93,0.859779,0.857934,0.867159,0.009225,0.4995,,,,,0.6462,1.5652
cora_GAT_r0.05,MEGU,im,722,False,0.8358,0.92,0.863469,0.865314,0.854244,-0.01107,0.532,,,,,0.5953,1.5652
cora_GAT_r0.05,MEGU,im,1337,False,0.8413,0.37,0.861624,0.837638,0.861624,0.023985,0.5413,,,,,0.529,1.5652
cora_GAT_r0.05,MEGU,im,2024,False,0.8561,-0.37,0.867159,0.850554,0.870849,0.020295,0.5095,,,,,0.6334,1.5652
cora_GAT_r0.05,MEGU,hybrid,42,False,0.8561,0.0,0.872694,0.850554,0.852399,0.001845,0.6884,,,,,0.6261,0.0416
cora_GAT_r0.05,MEGU,hybrid,212,False,0.8487,-1.11,0.874539,0.861624,0.856089,-0.005535,0.6329,,,,,0.6322,0.0418
cora_GAT_r0.05,MEGU,hybrid,722,False,0.8395,0.55,0.867159,0.865314,0.857934,-0.00738,0.5785,,,,,0.5508,0.0419
cora_GAT_r0.05,MEGU,hybrid,1337,False,0.8321,1.29,0.861624,0.852399,0.848708,-0.00369,0.6656,,,,,0.6331,0.042
cora_GAT_r0.05,MEGU,hybrid,2024,False,0.8542,-0.18,0.865314,0.850554,0.854244,0.00369,0.7188,,,,,0.6449,0.0365
cora_GAT_r0.05,IDEA,random,42,False,0.8284,0.0,0.878229,0.861624,0.861624,0.0,0.5783,,,,,0.7834,0.0002
cora_GAT_r0.05,IDEA,random,212,False,0.8284,0.0,0.867159,0.869004,0.863469,-0.005535,0.5463,,,,,0.3854,0.0002
cora_GAT_r0.05,IDEA,random,722,False,0.8137,0.0,0.863469,0.874539,0.863469,-0.01107,0.5976,,,,,0.8271,0.0002
cora_GAT_r0.05,IDEA,random,1337,False,0.8063,0.0,0.867159,0.856089,0.863469,0.00738,0.5932,,,,,0.7649,0.0003
cora_GAT_r0.05,IDEA,random,2024,False,0.8266,0.0,0.869004,0.863469,0.856089,-0.00738,0.5397,,,,,0.7876,0.0002
cora_GAT_r0.05,IDEA,degree,42,False,0.7823,4.61,0.878229,0.861624,0.857934,-0.00369,0.5039,,,,,0.7816,0.0005
cora_GAT_r0.05,IDEA,degree,212,False,0.7952,3.32,0.870849,0.869004,0.865314,-0.00369,0.492,,,,,0.8425,0.0006
cora_GAT_r0.05,IDEA,degree,722,False,0.7786,3.51,0.867159,0.874539,0.867159,-0.00738,0.537,,,,,0.842,0.0007
