selector,node_id,score,rank,selected
tracin_cp_graph_3,0,-0.0008534659445285798,12,False
tracin_cp_graph_3,4,-0.000924995131790638,13,False
tracin_cp_graph_3,8,-0.0012484468519687653,14,False
tracin_cp_graph_6,11,0.0027020503208041195,1,True
tracin_cp_graph_6,13,0.002335526812821627,2,False
tracin_cp_graph_6,9,0.002277982644736767,3,False
tracin_cp_graph_6,5,0.0022238329984247684,4,False
tracin_cp_graph_6,1,0.002122064810246229,5,False
tracin_cp_graph_6,7,0.0018209920264780524,6,False
tracin_cp_graph_6,3,0.0016716724447906018,7,False
tracin_cp_graph_6,2,-0.0009267402254045007,8,False
tracin_cp_graph_6,6,-0.0010164985433220863,9,False
tracin_cp_graph_6,10,-0.0013707822374999523,10,False
tracin_cp_graph_6,12,-0.0015245987102389337,11,False
tracin_cp_graph_6,0,-0.001730596981942654,12,False
tracin_cp_graph_6,4,-0.0018770424276590347,13,False
tracin_cp_graph_6,8,-0.002535642609000206,14,False
legacy,0,1.0709768533706665,1,True
legacy,2,1.0007120370864868,2,False
legacy,10,0.9874324798583984,3,False
legacy,8,0.9865089058876038,4,False
legacy,12,0.939984917640686,5,False
legacy,4,0.9361847639083862,6,False
legacy,6,0.9031195044517517,7,False
legacy,7,-1.0184190273284912,8,False
legacy,5,-1.1368118524551392,9,False
legacy,3,-1.1442208290100098,10,False
legacy,9,-1.276625156402588,11,False
legacy,1,-1.3344687223434448,12,False
legacy,13,-1.5404530763626099,13,False
legacy,11,-1.7473599910736084,14,False
