Method,Dataset,Model,Ratio,Strategy,Rel_F1_Drop_Mean,Rel_F1_Drop_Std,Retrain_Gap_Abs_Mean,MIA_AUC_Mean,P_Value,N_Seeds
GraphEraser,cora,GAT,0.05,im_v4,6.19885608856088,0.5541119020558924,3.210332103321038,,2.3627257106919545e-05,5
GraphEraser,cora,GAT,0.05,random,0.47885608856087947,1.1681267054562183,2.952029520295212,,0.45833229788425744,5
GraphEraser,cora,GAT,0.05,tracin,0.25885608856087927,1.2209340686539973,3.5793357933579317,,0.6933540440777088,5
GraphEraser,cora,GCN,0.05,hybrid_v4,4.390361623616235,2.558299435171731,1.6236162361623618,,0.026480982503407705,5
GraphEraser,cora,GCN,0.05,im_v4,4.8683616236162335,2.3374396248887352,2.4723247232472367,,0.014081768967567347,5
GraphEraser,cora,GCN,0.05,random,1.6963616236162338,1.1448598167461386,2.0295202952029534,,0.04141281441646542,5
GraphEraser,cora,GCN,0.05,tracin,1.7703616236162345,0.9868414259646775,2.9520295202951963,,0.02300414562479808,5
IDEA,citeseer,GCN,0.05,hybrid_v4,0.2696696696696743,0.32031234756093885,1.4714714714714705,,0.1675080719052495,5
IDEA,citeseer,GCN,0.05,im_v4,0.5096696696696768,0.5660388679233986,0.7807807807807832,,0.14609734952621167,5
IDEA,citeseer,GCN,0.05,tracin,0.8396696696696737,0.22449944320643697,0.6906906906906962,,0.001707692583604465,5
IDEA,cora,GAT,0.05,hybrid_v4,1.6605461254612395,0.664842838571642,0.258302583025829,,0.007515368434804174,5
IDEA,cora,GAT,0.05,im_v4,2.5465461254612443,0.4879180259018935,0.8856088560885622,,0.0004758795617179754,5
IDEA,cora,GAT,0.05,tracin,1.0345461254612398,0.9840203249933429,1.0701107011070121,,0.10333875597236868,5
MEGU,citeseer,GCN,0.05,hybrid_v4,-0.38819819819819745,0.29086079144498206,1.141141141141142,,0.05584632942450198,5
MEGU,citeseer,GCN,0.05,im_v4,0.061801801801801844,0.38418745424596984,1.1411411411411465,,0.7637702970901091,5
MEGU,citeseer,GCN,0.05,tracin,0.9918018018017994,0.3865229618017536,0.6606606606606547,,0.006829425132682988,5
MEGU,cora,GAT,0.05,hybrid_v4,1.4407749077490783,0.8290958931269669,0.9594095940959413,,0.02545515666084064,5
MEGU,cora,GAT,0.05,im_v4,0.8507749077490767,0.845008875693031,0.9225092250922495,,0.1143224798963881,5
MEGU,cora,GAT,0.05,tracin,0.4067749077490812,0.38520643816011163,0.9963099630996308,,0.10226148681144143,5
